timestamp,jopa
2025-03-04 01:33:38.832,375185
2025-03-04 01:33:38.941,375200
2025-03-04 01:33:39.059,375218
2025-03-04 01:33:39.161,375232
2025-03-04 01:33:39.268,375248
2025-03-04 01:33:39.378,375264
2025-03-04 01:33:39.493,375282
2025-03-04 01:33:39.609,375298
2025-03-04 01:33:39.711,375314
2025-03-04 01:33:39.825,375330
2025-03-04 01:33:39.926,375346
2025-03-04 01:33:40.044,375362
2025-03-04 01:33:40.144,375377
2025-03-04 01:33:40.260,375394
2025-03-04 01:33:40.372,375412
2025-03-04 01:33:40.477,375426
2025-03-04 01:33:40.593,375443
2025-03-04 01:33:40.693,375459
2025-03-04 01:33:40.810,375477
2025-03-04 01:33:40.910,375491
2025-03-04 01:33:41.027,375509
2025-03-04 01:33:41.141,375525
2025-03-04 01:33:41.244,375540
2025-03-04 01:33:41.359,375558
2025-03-04 01:33:41.456,375572
2025-03-04 01:33:41.567,375587
2025-03-04 01:33:41.676,375604
2025-03-04 01:33:41.790,375621
2025-03-04 01:33:41.893,375637
2025-03-04 01:33:42.004,375652
2025-03-04 01:33:42.115,375668
2025-03-04 01:33:42.227,375686
2025-03-04 01:33:42.335,375702
2025-03-04 01:33:42.443,375718
2025-03-04 01:33:42.561,375734
2025-03-04 01:33:42.660,375749
2025-03-04 01:33:42.777,375766
2025-03-04 01:33:42.889,375782
2025-03-04 01:33:42.994,375798
2025-03-04 01:33:43.107,375816
2025-03-04 01:33:43.207,375830
2025-03-04 01:33:43.317,375846
2025-03-04 01:33:43.424,375861
2025-03-04 01:33:43.535,375879
2025-03-04 01:33:43.649,375895
2025-03-04 01:33:43.753,375912
2025-03-04 01:33:43.863,375928
2025-03-04 01:33:43.972,375943
2025-03-04 01:33:44.082,375960
2025-03-04 01:33:44.192,375976
2025-03-04 01:33:44.301,375992
2025-03-04 01:33:44.410,376007
2025-03-04 01:33:44.521,376025
2025-03-04 01:33:44.633,376040
2025-03-04 01:33:44.743,376058
2025-03-04 01:33:44.850,376072
2025-03-04 01:33:44.960,376090
2025-03-04 01:33:45.071,376106
2025-03-04 01:33:45.177,376120
2025-03-04 01:33:45.290,376138
2025-03-04 01:33:45.395,376154
2025-03-04 01:33:45.504,376170
2025-03-04 01:33:45.614,376185
2025-03-04 01:33:45.722,376201
2025-03-04 01:33:45.834,376219
2025-03-04 01:33:45.940,376233
2025-03-04 01:33:46.054,376250
2025-03-04 01:33:46.161,376266
2025-03-04 01:33:46.269,376282
2025-03-04 01:33:46.383,376298
2025-03-04 01:33:46.490,376316
2025-03-04 01:33:46.599,376332
2025-03-04 01:33:46.709,376348
2025-03-04 01:33:46.818,376364
2025-03-04 01:33:46.928,376380
2025-03-04 01:33:47.039,376396
2025-03-04 01:33:47.144,376412
2025-03-04 01:33:47.259,376429
2025-03-04 01:33:47.367,376444
2025-03-04 01:33:47.476,376461
